file_id,projectGroup,category,smellType,status,tInit,tFinal,first,last
JD8163,JD,Business,IMPLICIT_COLUMNS,0,2016-10-17 01:03:03,2017-09-28 13:47:37,1,1
JD8411,JD,Business,IMPLICIT_COLUMNS,0,2017-01-23 11:56:08,2017-09-28 13:47:37,1,1
JD180383,JD,Multimedia,IMPLICIT_COLUMNS,0,2017-05-18 21:38:27,2019-02-11 17:11:07,1,1
JD167775,JD,Utility,IMPLICIT_COLUMNS,0,2011-08-22 00:03:17,2019-08-26 13:40:10,1,1
JD167700,JD,Utility,IMPLICIT_COLUMNS,1,2007-11-19 17:38:08,2011-08-22 00:03:17,1,0
JD167621,JD,Utility,IMPLICIT_COLUMNS,1,2005-08-21 19:35:11,2007-11-19 17:38:08,1,0
JD51834,JD,Library,IMPLICIT_COLUMNS,1,2015-05-13 14:45:19,2019-08-22 09:03:36,1,0
JD51829,JD,Library,IMPLICIT_COLUMNS,0,2015-05-13 14:45:19,2019-08-22 09:03:36,1,1
JD63350,JD,Library,IMPLICIT_COLUMNS,1,2005-04-18 04:35:42,2006-02-15 02:05:42,1,0
JD124453,JD,Library,IMPLICIT_COLUMNS,0,2017-02-06 14:55:10,2019-09-24 04:03:04,1,1
JD124449,JD,Library,IMPLICIT_COLUMNS,0,2017-11-03 04:09:18,2019-09-24 04:03:04,1,1
JD375,JD,Library,IMPLICIT_COLUMNS,0,2017-12-28 19:07:08,2019-08-16 08:45:03,1,1
JD351,JD,Library,IMPLICIT_COLUMNS,0,2017-12-28 19:07:08,2019-08-16 08:45:03,1,1
JD371,JD,Library,IMPLICIT_COLUMNS,0,2017-12-28 19:07:08,2019-08-16 08:45:03,1,1
JD130395,JD,Library,IMPLICIT_COLUMNS,0,2015-11-19 20:23:45,2019-10-10 13:21:57,1,1
JD130396,JD,Library,IMPLICIT_COLUMNS,0,2015-11-19 20:23:45,2019-10-10 13:21:57,1,1
JD110596,JD,Library,IMPLICIT_COLUMNS,1,2016-04-28 20:10:40,2016-06-28 23:41:56,1,0
JD102103,JD,Library,IMPLICIT_COLUMNS,0,2016-06-28 23:41:56,2019-10-10 15:23:51,0,1
JD106130,JD,Library,IMPLICIT_COLUMNS,0,2016-08-29 18:27:14,2019-10-10 15:23:51,1,1
JD87975,JD,Library,IMPLICIT_COLUMNS,0,2010-06-04 11:34:07,2011-05-16 08:18:58,1,1
