file_id,projectGroup,category,smellType,status,tInit,tFinal,first,last,T,days,DBsmell
JD3523,JD,Library,IMPLICIT_COLUMNS,0,2016-06-10 18:06:01,2019-10-07 18:12:02,1,1,1214 days 00:06:01.000000000,1214,True
JD3502,JD,Library,IMPLICIT_COLUMNS,1,2016-06-10 18:06:01,2017-09-27 07:44:42,1,0,473 days 13:38:41.000000000,473,True
JD3977,JD,Library,IMPLICIT_COLUMNS,0,2017-04-03 21:11:50,2019-10-07 18:12:02,1,1,916 days 21:00:12.000000000,916,True
JD3976,JD,Library,IMPLICIT_COLUMNS,0,2017-04-03 21:11:50,2019-10-07 18:12:02,1,1,916 days 21:00:12.000000000,916,True
JD3975,JD,Library,IMPLICIT_COLUMNS,0,2017-04-03 21:11:50,2019-10-07 18:12:02,1,1,916 days 21:00:12.000000000,916,True
JD3853,JD,Library,IMPLICIT_COLUMNS,0,2017-04-03 21:11:50,2019-10-07 18:12:02,1,1,916 days 21:00:12.000000000,916,True
JD168208,JD,Library,IMPLICIT_COLUMNS,1,2016-02-06 11:49:17,2019-09-18 14:52:38,1,0,1320 days 03:03:21.000000000,1320,True
JD47193,JD,Library,IMPLICIT_COLUMNS,0,2014-11-18 09:08:10,2015-12-21 07:25:04,1,1,397 days 22:16:54.000000000,397,True
JD47093,JD,Library,IMPLICIT_COLUMNS,0,2014-11-18 09:08:10,2015-12-21 07:25:04,1,1,397 days 22:16:54.000000000,397,True
JD47087,JD,Library,IMPLICIT_COLUMNS,0,2014-11-18 09:08:10,2015-12-21 07:25:04,1,1,397 days 22:16:54.000000000,397,True
JD47086,JD,Library,IMPLICIT_COLUMNS,0,2014-11-18 09:08:10,2015-12-21 07:25:04,1,1,397 days 22:16:54.000000000,397,True
JD47034,JD,Library,IMPLICIT_COLUMNS,0,2014-11-18 09:08:10,2015-12-21 07:25:04,1,1,397 days 22:16:54.000000000,397,True
JD47078,JD,Library,IMPLICIT_COLUMNS,0,2014-11-18 09:08:10,2015-12-21 07:25:04,1,1,397 days 22:16:54.000000000,397,True
JD47077,JD,Library,IMPLICIT_COLUMNS,0,2014-11-18 09:08:10,2015-12-21 07:25:04,1,1,397 days 22:16:54.000000000,397,True
JD47068,JD,Library,IMPLICIT_COLUMNS,0,2014-11-18 09:08:10,2015-12-21 07:25:04,1,1,397 days 22:16:54.000000000,397,True
JD69252,JD,Library,IMPLICIT_COLUMNS,0,2014-10-28 09:17:56,2019-09-06 00:14:58,1,1,1773 days 14:57:02.000000000,1773,True
JD134248,JD,Library,IMPLICIT_COLUMNS,0,2014-10-28 09:17:56,2019-09-06 00:14:58,1,1,1773 days 14:57:02.000000000,1773,True
JD64102,JD,Library,IMPLICIT_COLUMNS,0,2018-04-04 02:21:27,2019-10-09 08:16:03,1,1,553 days 05:54:36.000000000,553,True
JD64205,JD,Library,IMPLICIT_COLUMNS,0,2018-04-04 02:21:27,2019-10-09 08:16:03,1,1,553 days 05:54:36.000000000,553,True
JD94641,JD,Library,IMPLICIT_COLUMNS,0,2013-02-06 13:58:27,2019-07-07 10:48:02,1,1,2341 days 20:49:35.000000000,2341,True
JD105116,JD,Library,IMPLICIT_COLUMNS,0,2015-11-09 09:22:21,2019-09-27 09:37:29,1,1,1418 days 00:15:08.000000000,1418,True
JD104635,JD,Library,IMPLICIT_COLUMNS,0,2011-08-17 16:20:08,2019-09-27 09:37:29,1,1,2962 days 17:17:21.000000000,2962,True
JD89182,JD,Library,IMPLICIT_COLUMNS,0,2011-01-12 15:53:39,2019-09-27 09:37:29,0,1,3179 days 17:43:50.000000000,3179,True
JD28628,JD,Library,IMPLICIT_COLUMNS,0,2013-09-11 20:12:17,2015-03-01 20:09:24,1,1,535 days 23:57:07.000000000,535,True
